ID,Label,Type,Details,EvidenceData,ImageUrl
hph,Helen Petousis-Harris,Person,"Associate Professor, Faculty of Medical and Health Sciences, University of Auckland.
Co-Director Global Vaccine Data Network (GVDN).

During the pandemic HPH was also a memeber of the Covid-19 Vaccine Technical Advisory Group and regularly gave press interviews encouraging vaccine uptake.

https://profiles.auckland.ac.nz/h-petousis-harris
https://www.globalvaccinedatanetwork.org/helen-petousis-harris-phd-pgdipscidist-bsc","[{""evidenceUrl"":""https://drive.google.com/file/d/1GHaaUn7114d2ISLQspcKxG5DZ0DDbm59/view?usp=drive_link"",""sourceUrl"":""https://www.health.govt.nz/system/files/2023-05/h2022017624_response_letter.pdf"", ""sourceLabel"":""FOIA h2022017624 Response Letter, page 3""}]",https://profiles.auckland.ac.nz/h-petousis-harris/thumbnail
sw,Siouxsie Wiles,Person,"Associate Professor, Molecular Medicine & Pathology, University of Auckland.
Siouxsie heads up the Bioluminescent Superbugs Lab, where she and her lab are searching for new antibiotics as well as trying to understand how bacteria evolve to become more infectious.

Her early work in bioluminscence was part of the Imaging TB Consortium.
",,https://profiles.auckland.ac.nz/s-wiles/thumbnail
ja,Jacinda Ardern,Person,"Dame Jacinda Kate Laurell Ardern GNZM (/ɑːˈdɜːn/ a-DURN;[1] born 26 July 1980) is a former New Zealand politician, who served as the 40th prime minister of New Zealand and leader of the Labour Party from 2017 to 2023. She was a member of Parliament (MP) as a list MP from 2008 to 2017 and for Mount Albert from 2017 to 2023.",,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Jacinda_Ardern_at_the_2025_Sundance_Film_Festival_03.jpg/250px-Jacinda_Ardern_at_the_2025_Sundance_Film_Festival_03.jpg
bmgf,Bill & Melinda Gates Foundation,Organisation,The Gates Foundation[a] is an American private foundation founded by Bill Gates and Melinda French Gates. ,,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Bill_%26_Melinda_Gates_Foundation_NE.jpg/250px-Bill_%26_Melinda_Gates_Foundation_NE.jpg
pv,Pivotal Ventures,Organisation,Consultant providing advice.,,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Profile--kelvindavis-390x2-UNC.jpg/250px-Profile--kelvindavis-390x2-UNC.jpg
itbc,Imaging TB Consortium,Organisation,Group funded by BMGF.,,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Profile--kelvindavis-390x2-UNC.jpg/250px-Profile--kelvindavis-390x2-UNC.jpg
vax,Pfizer-BioNTech Vaccine,Product,,,
biontech,BioNTech,Organisation,,,
gvdn,Global Vaccine Data Network (GVDN),Organisation,,,
mg,Melinda Gates,Person,,,
